place_name,place_id,Attributes
Cafe Katerina,0,"Coffee, Lunch, Dinner, Scenic View, Outdoor Seating, PWD Friendly, Filipino Cuisine, Delivery Available, Takeout Available, Seafood, Pizza, Dessert, Romantic"
BNK Cafe & Resto - Budbod ni Nanay Kaling,1,"Coffee, Breakfast, Lunch, Dinner, Scenic View, Outdoor Seating, PWD Friendly, Filipino Cuisine, Takeout Available, Seafood, Pizza, Grill, Dessert"
Mich's Garden Cafe and Restaurant,2,"Coffee, Breakfast, Lunch, Dinner, Scenic View, Outdoor Seating, PWD Friendly, Filipino Cuisine, Takeout Available, Seafood, Grill, Dessert"
Wyndells Al Fresco,3,"Coffee, Breakfast, Lunch, Dinner, Scenic View, Outdoor Seating, PWD Friendly, Filipino Cuisine, Alcohol Served, Takeout Available, Seafood, Pizza, Grill, Dessert, Romantic"
Pico de Pino Cafe and Restaurant,4,"Coffee, Breakfast, Lunch, Dinner, Scenic View, Outdoor Seating, PWD Friendly, Filipino Cuisine, Takeout Available, Seafood, Grill, Dessert, Romantic"
PADAYON Comfort Food & Coffee Tanay,5,"Coffee, Breakfast, Lunch, Dinner, Scenic View, Outdoor Seating, PWD Friendly, Filipino Cuisine, Takeout Available, Seafood, Pizza, Dessert"
Casa de Marcela,6,"Coffee, Breakfast, Lunch, Dinner, PWD Friendly, Filipino Cuisine, Delivery Available, Takeout Available, Seafood, Grill, Dessert"
DAPOG Lutong Kahoy,7,"Coffee, Breakfast, Lunch, Dinner, Scenic View, Outdoor Seating, PWD Friendly, Filipino Cuisine, Takeout Available, Seafood, Grill, Dessert"
Isaw Haus - Marilaque,8,"Coffee, Breakfast, Lunch, Dinner, Scenic View, Outdoor Seating, PWD Friendly, Filipino Cuisine, Alcohol Served, Delivery Available, Takeout Available, Seafood, Grill, Dessert"
Kape Natividad,9,"Coffee, Breakfast, Lunch, Dinner, Scenic View, Outdoor Seating, Filipino Cuisine, Takeout Available, Pizza, Dessert, Romantic"
